GJD-2450000 flux err airmass sky dx dy baserun
8062.876429 0.997372 0.004839 1.5601 1109.5 -0.027 -2.954 MSCT2_1711050051
8062.877054 1.003590 0.004729 1.5560 979.8 -0.084 -2.454 MSCT2_1711050052
8062.877679 1.003489 0.004581 1.5516 875.4 -0.130 -1.302 MSCT2_1711050053
8062.878316 1.007227 0.004478 1.5472 785.1 -0.433 0.046 MSCT2_1711050054
8062.878941 1.006522 0.004346 1.5433 710.6 0.116 -1.458 MSCT2_1711050055
8062.879566 1.004026 0.004253 1.5394 649.7 -0.694 -1.532 MSCT2_1711050056
8062.880214 0.999233 0.004207 1.5351 601.6 -0.494 -2.036 MSCT2_1711050057
8062.880839 0.998504 0.004166 1.5312 563.4 0.183 -0.653 MSCT2_1711050058
8062.881453 0.999367 0.004091 1.5275 535.3 0.050 -0.552 MSCT2_1711050059
8062.882078 1.001618 0.003956 0.0000 508.0 -0.566 -1.874 MSCT2_1711050060
8062.882714 0.999628 0.004023 1.5196 484.6 -0.455 -0.980 MSCT2_1711050061
8062.883351 0.998472 0.004031 1.5157 467.7 0.129 -2.435 MSCT2_1711050062
8062.883987 0.996379 0.004027 1.5120 454.7 -0.829 -1.882 MSCT2_1711050063
8062.884612 1.004119 0.004019 1.5085 443.6 0.089 0.682 MSCT2_1711050064
8062.885249 0.998957 0.003969 1.5046 435.7 0.123 -1.489 MSCT2_1711050065
8062.885885 0.999868 0.003937 1.5008 430.1 -0.031 -0.916 MSCT2_1711050066
8062.886522 1.002801 0.003944 1.4974 429.2 -0.637 -1.370 MSCT2_1711050067
8062.887159 1.001968 0.003936 1.4936 425.1 -0.664 -2.928 MSCT2_1711050068
8062.887784 0.997598 0.003915 1.4903 421.9 -0.428 -0.243 MSCT2_1711050069
8062.888409 1.004296 0.003917 1.4870 423.5 0.040 -1.304 MSCT2_1711050070
8062.889034 1.002525 0.003930 1.4834 426.3 -0.640 -0.844 MSCT2_1711050071
8062.889670 1.002676 0.003972 1.4802 427.9 -0.573 -2.128 MSCT2_1711050072
8062.890295 0.995793 0.003956 1.4766 427.5 0.057 -1.524 MSCT2_1711050073
8062.890932 0.999193 0.003953 1.4735 428.5 0.074 -0.085 MSCT2_1711050074
8062.891568 1.003610 0.003998 1.4701 429.9 -0.584 -2.288 MSCT2_1711050075
8062.892205 0.999177 0.003975 1.4670 435.9 0.157 0.064 MSCT2_1711050076
8062.892841 1.002707 0.003975 1.4636 443.9 -0.920 -0.129 MSCT2_1711050077
8062.893478 0.998709 0.003991 1.4606 454.5 -0.638 -0.050 MSCT2_1711050078
8062.894103 1.007758 0.004021 1.4574 463.0 0.228 -1.829 MSCT2_1711050079
8062.894740 1.006337 0.004000 1.4544 465.8 -0.613 -0.577 MSCT2_1711050080
8062.895365 0.998534 0.003964 1.4513 467.3 0.000 0.000 MSCT2_1711050081
8062.895990 1.004421 0.003982 1.4484 469.3 -0.500 -1.636 MSCT2_1711050082
8062.896615 0.993259 0.003976 1.4456 473.1 -0.561 -1.270 MSCT2_1711050083
8062.897251 1.001128 0.004002 1.4425 472.7 0.007 -0.454 MSCT2_1711050084
8062.897865 0.998905 0.003972 1.4398 472.0 -1.374 -2.789 MSCT2_1711050085
8062.898490 1.000778 0.003963 1.4368 473.8 -0.496 -2.705 MSCT2_1711050086
8062.899103 1.007323 0.003977 1.4341 474.6 -0.632 -1.416 MSCT2_1711050087
8062.899740 1.002661 0.003984 1.4314 485.9 -0.635 -0.790 MSCT2_1711050088
8062.900376 1.002986 0.003977 1.4285 489.1 -0.539 -1.293 MSCT2_1711050089
8062.901013 0.999071 0.003955 1.4259 490.0 -0.834 -1.059 MSCT2_1711050090
8062.901638 0.993231 0.003942 1.4231 495.3 -0.566 -1.400 MSCT2_1711050091
8062.902274 0.996804 0.003973 1.4205 496.0 -0.424 0.114 MSCT2_1711050092
8062.902888 0.996572 0.003983 1.4181 492.2 -0.462 -1.616 MSCT2_1711050093
8062.903524 0.997250 0.003952 1.4154 490.5 -0.990 -1.036 MSCT2_1711050094
8062.904149 1.006569 0.003948 1.4129 496.7 0.122 -0.512 MSCT2_1711050095
8062.904786 1.004274 0.003944 1.4103 499.6 -0.573 -2.226 MSCT2_1711050096
8062.905399 1.005553 0.003954 1.4079 502.8 -1.109 -2.079 MSCT2_1711050097
8062.906024 1.008438 0.003977 1.4056 502.3 -0.753 -2.651 MSCT2_1711050098
8062.906661 1.001599 0.003967 1.4030 503.1 -0.523 -1.026 MSCT2_1711050099
8062.907286 1.001038 0.003962 1.4008 499.5 -0.441 -1.159 MSCT2_1711050100
8062.907922 1.001812 0.003922 1.3983 499.5 -1.664 -0.517 MSCT2_1711050101
8062.908547 0.998743 0.003943 1.3961 503.9 -0.939 -1.092 MSCT2_1711050102
8062.909172 1.004974 0.003954 1.3937 503.0 -0.514 -0.656 MSCT2_1711050103
8062.909809 1.006233 0.003960 1.3915 502.4 -0.925 -2.976 MSCT2_1711050104
8062.910434 1.000327 0.003960 1.3892 501.3 -0.540 -0.162 MSCT2_1711050105
8062.911071 1.002266 0.003917 1.3871 497.1 -1.487 -1.232 MSCT2_1711050106
8062.911707 1.002091 0.003940 1.3848 496.3 -1.353 -3.551 MSCT2_1711050107
8062.912332 1.006160 0.003943 1.3828 495.7 -0.451 -0.568 MSCT2_1711050108
8062.912957 0.996419 0.003913 1.3808 496.8 -1.403 0.200 MSCT2_1711050109
8062.913582 1.005935 0.003961 1.3786 497.6 -0.740 -2.357 MSCT2_1711050110
8062.914219 1.004259 0.003918 1.3766 495.1 -0.722 -1.873 MSCT2_1711050111
8062.914855 0.997286 0.003911 1.3745 504.1 -1.754 -0.791 MSCT2_1711050112
8062.915480 1.004905 0.003928 1.3726 498.9 -0.130 -0.526 MSCT2_1711050113
8062.916105 1.000026 0.003942 1.3705 500.0 -0.816 -2.556 MSCT2_1711050114
8062.916753 0.999877 0.003931 1.3687 498.8 -0.967 0.128 MSCT2_1711050115
8062.917367 0.996416 0.003906 1.3669 498.2 -0.653 -1.019 MSCT2_1711050116
8062.918003 0.996944 0.003886 1.3649 496.7 -1.868 -3.216 MSCT2_1711050117
8062.918640 0.996473 0.003900 1.3629 498.1 -0.982 -1.517 MSCT2_1711050118
8062.919265 0.997682 0.003902 1.3612 493.3 -0.830 -0.438 MSCT2_1711050119
8062.919913 0.994530 0.003893 1.3593 491.4 -1.593 -2.386 MSCT2_1711050120
8062.920550 0.990273 0.003874 1.3576 493.0 -0.461 -0.881 MSCT2_1711050121
8062.921175 0.999682 0.003922 1.3558 496.6 -0.640 -1.102 MSCT2_1711050122
8062.921811 1.001067 0.003940 1.3542 502.4 -1.550 -1.550 MSCT2_1711050123
8062.922436 0.998664 0.003914 1.3524 505.7 -0.632 -2.301 MSCT2_1711050124
8062.923073 0.990686 0.003914 1.3508 503.1 -1.460 -0.912 MSCT2_1711050125
8062.923698 0.999675 0.003953 1.3491 504.8 -1.683 -0.817 MSCT2_1711050126
8062.924334 0.998253 0.003947 1.3476 509.4 -1.683 -2.198 MSCT2_1711050127
8062.924959 0.998734 0.004042 1.3461 561.5 -0.449 -2.441 MSCT2_1711050128
8062.925608 1.001428 0.004057 1.3444 592.8 -1.592 -0.515 MSCT2_1711050129
8062.926233 1.000962 0.003953 1.3430 521.7 -1.417 -3.110 MSCT2_1711050130
8062.926869 0.996400 0.003944 1.3414 512.3 -0.440 -1.108 MSCT2_1711050131
8062.927494 1.000427 0.003959 1.3400 512.5 -0.618 -0.870 MSCT2_1711050132
8062.928119 0.999817 0.003954 1.3385 513.4 -1.582 -1.925 MSCT2_1711050133
8062.928744 0.991986 0.003942 1.3371 526.9 -1.323 -3.196 MSCT2_1711050134
8062.929369 0.988066 0.003948 1.3358 525.2 -1.257 -1.087 MSCT2_1711050135
8062.929994 0.997532 0.003966 1.3343 521.7 -1.464 0.043 MSCT2_1711050136
8062.930619 0.996695 0.003939 1.3331 514.1 -1.809 -2.870 MSCT2_1711050137
8062.931256 0.992150 0.003938 1.3317 515.5 -0.761 -1.672 MSCT2_1711050138
8062.931892 0.993147 0.003927 1.3304 513.5 -1.793 -2.022 MSCT2_1711050139
8062.932529 0.992517 0.003926 1.3291 511.9 -1.526 -1.559 MSCT2_1711050140
8062.933177 0.988268 0.003907 1.3279 511.4 -1.196 -1.154 MSCT2_1711050141
8062.933802 0.993772 0.003888 1.3266 509.4 -1.414 -2.091 MSCT2_1711050142
8062.934439 0.993385 0.003897 1.3255 509.4 -0.679 -1.270 MSCT2_1711050143
8062.935075 0.996031 0.003905 1.3243 510.1 -0.750 -0.427 MSCT2_1711050144
8062.935700 0.991931 0.003924 1.3232 508.4 -1.448 -1.331 MSCT2_1711050145
8062.936325 0.988725 0.003900 1.3220 509.9 -1.269 -2.616 MSCT2_1711050146
8062.936962 0.993312 0.003930 1.3210 510.2 -1.346 -1.795 MSCT2_1711050147
8062.937587 0.996397 0.003934 1.3198 513.2 -1.246 -1.105 MSCT2_1711050148
8062.938212 0.993970 0.003956 1.3188 522.7 -1.401 -1.236 MSCT2_1711050149
8062.938848 0.993379 0.003945 1.3178 521.5 -1.687 -1.004 MSCT2_1711050150
8062.939473 0.994971 0.003934 1.3168 521.9 -1.015 -2.138 MSCT2_1711050151
8062.940110 0.995487 0.003953 1.3158 522.0 -2.080 -1.426 MSCT2_1711050152
8062.940735 0.994004 0.003925 1.3148 517.5 -1.393 -0.872 MSCT2_1711050153
8062.941360 0.997521 0.003941 1.3139 510.3 -0.817 -0.924 MSCT2_1711050154
8062.942008 0.994993 0.003935 1.3130 510.2 -1.312 -2.245 MSCT2_1711050155
8062.942633 1.001958 0.003927 1.3121 510.9 -1.146 -1.553 MSCT2_1711050156
8062.943270 0.998033 0.003934 1.3112 512.0 -1.357 -0.958 MSCT2_1711050157
8062.943895 1.001377 0.003932 1.3104 513.3 -1.693 -2.274 MSCT2_1711050158
8062.944520 0.991586 0.003913 1.3096 522.7 -0.914 -1.626 MSCT2_1711050159
8062.945156 0.990435 0.003945 1.3088 560.5 -0.758 -0.889 MSCT2_1711050160
8062.945781 0.996398 0.003932 1.3080 517.7 0.326 -0.545 MSCT2_1711050161
8062.946406 0.998720 0.003928 1.3073 513.8 -2.077 -2.826 MSCT2_1711050162
8062.947031 0.995808 0.003896 1.3066 509.3 -1.662 -1.099 MSCT2_1711050163
8062.947668 1.000275 0.003920 1.3059 512.7 -0.800 -1.363 MSCT2_1711050164
8062.948293 1.000095 0.003937 1.3052 517.8 -1.420 -1.664 MSCT2_1711050165
8062.948929 0.995276 0.003946 1.3045 515.5 -1.254 -0.675 MSCT2_1711050166
8062.949554 0.998513 0.003943 1.3039 518.4 -1.980 -1.104 MSCT2_1711050167
8062.950191 0.997387 0.003962 1.3033 528.7 -1.873 -1.308 MSCT2_1711050168
8062.950816 0.993700 0.003977 1.3027 528.2 -1.240 -1.389 MSCT2_1711050169
8062.951441 1.001198 0.003995 1.3022 528.5 -1.958 -2.565 MSCT2_1711050170
8062.952078 1.004161 0.004013 1.3016 527.9 -1.133 -2.286 MSCT2_1711050171
8062.952714 1.003534 0.003968 1.3011 524.6 -2.063 -0.748 MSCT2_1711050172
8062.953339 1.008291 0.003975 1.3006 514.5 -1.777 -0.603 MSCT2_1711050173
