,GJD-2450000,flux,err,airmass,sky,dx,dy
0,8062.876429000001,0.9973719999999999,0.004839,1.5601,1109.5,-0.027000000000000003,-2.9539999999999997
1,8062.8770540000005,1.00359,0.004729,1.556,979.8,-0.084,-2.454
2,8062.877679000001,1.0034889999999999,0.004581,1.5516,875.4,-0.13,-1.3019999999999998
3,8062.878315999999,1.007227,0.004478,1.5472,785.1,-0.433,0.046
4,8062.878941,1.006522,0.004346,1.5433,710.6,0.11599999999999999,-1.4580000000000002
5,8062.879566,1.004026,0.004253,1.5394,649.7,-0.6940000000000001,-1.5319999999999998
6,8062.880214,0.999233,0.004207,1.5351,601.6,-0.494,-2.036
7,8062.880839,0.9985040000000001,0.0041659999999999996,1.5312,563.4,0.183,-0.653
8,8062.881453,0.999367,0.004091,1.5275,535.3,0.05,-0.552
10,8062.882714,0.9996280000000001,0.004023,1.5196,484.6,-0.455,-0.98
11,8062.883351,0.9984719999999999,0.004031,1.5157,467.7,0.129,-2.435
12,8062.883987,0.9963790000000001,0.004027,1.512,454.7,-0.8290000000000001,-1.882
13,8062.884612000001,1.004119,0.004019,1.5085,443.6,0.08900000000000001,0.682
14,8062.885248999999,0.998957,0.0039689999999999994,1.5046,435.7,0.12300000000000001,-1.489
15,8062.885885,0.999868,0.0039369999999999995,1.5008,430.1,-0.031,-0.9159999999999999
16,8062.886522,1.002801,0.003944,1.4974,429.2,-0.637,-1.37
17,8062.887159000001,1.001968,0.003936,1.4936,425.1,-0.664,-2.928
18,8062.8877840000005,0.997598,0.003915,1.4903,421.9,-0.428,-0.243
19,8062.888409,1.0042959999999999,0.003917,1.487,423.5,0.04,-1.304
20,8062.889034000001,1.002525,0.0039299999999999995,1.4834,426.3,-0.64,-0.8440000000000001
21,8062.8896700000005,1.0026760000000001,0.003972,1.4802,427.9,-0.573,-2.128
22,8062.890295,0.995793,0.003956,1.4766,427.5,0.057,-1.524
23,8062.890931999999,0.999193,0.003953,1.4735,428.5,0.07400000000000001,-0.085
24,8062.891568000001,1.0036100000000001,0.003998,1.4701,429.9,-0.584,-2.2880000000000003
25,8062.892205,0.9991770000000001,0.003975,1.467,435.9,0.157,0.064
26,8062.892841,1.002707,0.003975,1.4636,443.9,-0.92,-0.129
27,8062.893478,0.9987090000000001,0.003991,1.4606,454.5,-0.638,-0.05
28,8062.8941030000005,1.007758,0.004021,1.4574,463.0,0.228,-1.829
29,8062.894740000001,1.006337,0.004,1.4544,465.8,-0.613,-0.5770000000000001
30,8062.895365,0.998534,0.003964,1.4513,467.3,0.0,0.0
31,8062.895990000001,1.004421,0.003982,1.4484,469.3,-0.5,-1.636
32,8062.896615000001,0.993259,0.0039759999999999995,1.4456,473.1,-0.561,-1.27
33,8062.897251,1.001128,0.004002,1.4425,472.7,0.006999999999999999,-0.45399999999999996
34,8062.897865000001,0.9989049999999999,0.003972,1.4398,472.0,-1.374,-2.7889999999999997
35,8062.8984900000005,1.0007780000000002,0.003963,1.4368,473.8,-0.496,-2.705
36,8062.899103,1.007323,0.0039770000000000005,1.4341,474.6,-0.632,-1.416
37,8062.899740000001,1.002661,0.0039840000000000006,1.4314,485.9,-0.635,-0.79
38,8062.9003760000005,1.0029860000000002,0.0039770000000000005,1.4285,489.1,-0.539,-1.2930000000000001
39,8062.901013,0.9990709999999999,0.003954999999999999,1.4259,490.0,-0.8340000000000001,-1.0590000000000002
40,8062.901637999999,0.993231,0.003942,1.4231,495.3,-0.5660000000000001,-1.4
41,8062.902273999999,0.9968040000000001,0.003973,1.4205,496.0,-0.424,0.114
42,8062.902888,0.9965719999999999,0.0039829999999999996,1.4181,492.2,-0.462,-1.6159999999999999
43,8062.903523999999,0.99725,0.003952000000000001,1.4154,490.5,-0.99,-1.036
44,8062.904148999999,1.006569,0.003948,1.4129,496.7,0.122,-0.512
45,8062.904786,1.004274,0.003944,1.4103,499.6,-0.573,-2.226
46,8062.905398999999,1.0055530000000001,0.003954,1.4079,502.8,-1.109,-2.079
47,8062.906024,1.008438,0.0039770000000000005,1.4056,502.3,-0.753,-2.6510000000000002
48,8062.906661,1.001599,0.003967,1.403,503.1,-0.523,-1.026
49,8062.907286,1.0010379999999999,0.003961999999999999,1.4008,499.5,-0.441,-1.159
50,8062.907922,1.0018120000000001,0.003922,1.3983,499.5,-1.6640000000000001,-0.517
51,8062.908547,0.998743,0.003943,1.3961,503.9,-0.9390000000000001,-1.092
52,8062.909172,1.004974,0.003954,1.3937,503.0,-0.514,-0.6559999999999999
53,8062.909809000001,1.006233,0.00396,1.3915,502.4,-0.925,-2.9760000000000004
54,8062.910434,1.000327,0.00396,1.3892,501.3,-0.54,-0.162
55,8062.9110709999995,1.0022659999999999,0.003917,1.3871,497.1,-1.4869999999999999,-1.232
56,8062.911706999999,1.002091,0.00394,1.3848,496.3,-1.3530000000000002,-3.551
57,8062.912331999999,1.00616,0.003943,1.3828,495.7,-0.451,-0.568
58,8062.912957,0.996419,0.003913000000000001,1.3808,496.8,-1.403,0.2
59,8062.913581999999,1.005935,0.003961,1.3786,497.6,-0.74,-2.3569999999999998
60,8062.914218999999,1.004259,0.003918,1.3766,495.1,-0.722,-1.8730000000000002
61,8062.914855,0.997286,0.0039109999999999995,1.3745,504.1,-1.754,-0.7909999999999999
62,8062.91548,1.004905,0.003928,1.3726,498.9,-0.13,-0.526
63,8062.916104999999,1.000026,0.003942,1.3705,500.0,-0.816,-2.556
64,8062.916753,0.999877,0.0039310000000000005,1.3687,498.8,-0.9670000000000001,0.128
65,8062.917367,0.996416,0.003906,1.3669,498.2,-0.653,-1.0190000000000001
66,8062.918003,0.996944,0.003886,1.3649,496.7,-1.868,-3.216
67,8062.918640000001,0.9964729999999999,0.0039,1.3629,498.1,-0.982,-1.517
68,8062.919265,0.997682,0.0039020000000000005,1.3612,493.3,-0.83,-0.43799999999999994
69,8062.919913,0.9945299999999999,0.0038929999999999998,1.3593,491.4,-1.5930000000000002,-2.386
70,8062.92055,0.990273,0.0038740000000000003,1.3576,493.0,-0.461,-0.8809999999999999
71,8062.921175,0.999682,0.003922,1.3558,496.6,-0.64,-1.102
72,8062.921811,1.001067,0.00394,1.3542,502.4,-1.55,-1.55
73,8062.922436,0.998664,0.003914,1.3524,505.7,-0.632,-2.301
74,8062.923073000001,0.9906860000000001,0.003914,1.3508,503.1,-1.46,-0.912
75,8062.9236980000005,0.999675,0.003953,1.3491,504.8,-1.683,-0.8170000000000001
76,8062.924334,0.9982530000000001,0.003947,1.3476,509.4,-1.683,-2.198
77,8062.924959,0.998734,0.0040420000000000005,1.3461,561.5,-0.449,-2.441
78,8062.925608,1.001428,0.004057,1.3444,592.8,-1.5919999999999999,-0.515
79,8062.926233,1.0009620000000001,0.003953,1.343,521.7,-1.4169999999999998,-3.11
80,8062.926869,0.9964,0.003944,1.3414,512.3,-0.44,-1.1079999999999999
81,8062.927494,1.000427,0.003959000000000001,1.34,512.5,-0.618,-0.87
82,8062.928119,0.999817,0.003954,1.3385,513.4,-1.5819999999999999,-1.925
83,8062.928744,0.991986,0.003942,1.3371,526.9,-1.3230000000000002,-3.196
84,8062.9293689999995,0.988066,0.003948,1.3358,525.2,-1.2570000000000001,-1.087
85,8062.929994,0.997532,0.003966,1.3343,521.7,-1.464,0.043
86,8062.930619,0.9966950000000001,0.003939,1.3331,514.1,-1.8090000000000002,-2.87
87,8062.931256,0.99215,0.0039380000000000005,1.3317,515.5,-0.7609999999999999,-1.672
88,8062.9318920000005,0.9931469999999999,0.003927,1.3304,513.5,-1.7930000000000001,-2.022
89,8062.932529000001,0.992517,0.003926,1.3291,511.9,-1.526,-1.5590000000000002
90,8062.933177,0.988268,0.003907,1.3279,511.4,-1.196,-1.1540000000000001
91,8062.933802,0.993772,0.0038880000000000004,1.3266,509.4,-1.4140000000000001,-2.0909999999999997
92,8062.934439,0.9933850000000001,0.003897,1.3255,509.4,-0.679,-1.27
93,8062.935075,0.996031,0.0039049999999999996,1.3243,510.1,-0.75,-0.42700000000000005
94,8062.9357,0.9919309999999999,0.003924,1.3232,508.4,-1.4480000000000002,-1.331
95,8062.936325,0.988725,0.0039,1.322,509.9,-1.2690000000000001,-2.616
96,8062.936962000001,0.9933120000000001,0.0039299999999999995,1.321,510.2,-1.3459999999999999,-1.795
97,8062.937587,0.996397,0.003934,1.3198,513.2,-1.246,-1.105
98,8062.938212000001,0.99397,0.003956,1.3188,522.7,-1.401,-1.236
99,8062.938848000001,0.9933790000000001,0.003945000000000001,1.3178,521.5,-1.6869999999999998,-1.004
100,8062.939473,0.9949709999999999,0.003934,1.3168,521.9,-1.015,-2.138
101,8062.94011,0.9954870000000001,0.003953,1.3158,522.0,-2.08,-1.426
102,8062.940734999999,0.9940040000000001,0.003925,1.3148,517.5,-1.393,-0.872
103,8062.94136,0.9975209999999999,0.003941,1.3139,510.3,-0.8170000000000001,-0.924
104,8062.942008,0.994993,0.003935,1.313,510.2,-1.3119999999999998,-2.245
